structure_index,natoms,asr_drift_norm,is_valid_asr
508,10,1.999999987845061e-08,True
509,12,3.4641015800631755e-08,True
510,32,9.797959509871615e-08,True
511,30,7.745966551760746e-08,True
512,10,1.7320508483214044e-08,True
513,30,5.999998468435178e-08,True
514,8,1.9999998546182954e-08,True
515,20,4.89897912945538e-08,True
516,12,3.4641015588304716e-08,True
517,12,2.0000001432762835e-08,True
518,54,1.8867962502493976e-07,True
519,2,0.0,True
520,13,3.741657286887044e-08,True
521,24,5.6568556595981956e-08,True
522,9,4.795831438606794e-08,True
523,18,3.4641016710032956e-08,True
524,20,5.824175385795272e-15,True
525,5,1.7320508226818928e-08,True
526,9,2.094764613337708e-15,True
527,40,3.061322976901446e-14,True
528,15,3.7416568329060976e-08,True
529,3,0.0,True
530,24,4.000001041504356e-08,True
531,5,1.00000003833145e-08,True
532,40,2.1546342493778146e-14,True
533,21,3.6055515540733594e-08,True
534,24,5.656854497729676e-08,True
535,60,9.797962845767035e-08,True
536,16,4.472135958619242e-08,True
537,28,3.999999309556637e-08,True
538,12,1.732050768197952e-08,True
539,4,0.0,True
540,28,5.6568543407204464e-08,True
541,24,3.46410182484048e-08,True
542,6,2.8284271075565064e-08,True
543,4,1.7320507970423888e-08,True
544,4,0.0,True
545,56,1.0770326930539918e-07,True
546,5,9.9999994951361e-09,True
547,40,7.999998619112906e-08,True
548,48,9.797961023715343e-08,True
549,12,2.8284272331639062e-08,True
550,8,2.8284270761546574e-08,True
551,12,3.999999542703225e-08,True
552,20,2.8284275471825474e-08,True
553,12,3.99999999928238e-08,True
554,12,3.1714313080323688e-15,True
555,9,2.4494898004159414e-08,True
556,24,5.656853508571504e-08,True
557,20,3.999999975690228e-08,True
558,9,2.2360679667030023e-08,True
559,36,6.928203816337369e-08,True
560,20,5.6568544496455985e-08,True
561,54,2.0000037181944284e-08,True
562,4,0.0,True
563,3,0.0,True
564,2,0.0,True
565,4,1.2560739669470201e-15,True
566,4,0.0,True
567,2,0.0,True
568,3,0.0,True
569,3,9.99999993922529e-09,True
570,4,1.2560739669470201e-15,True
571,2,0.0,True
572,4,4.440892098500626e-16,True
573,3,0.0,True
574,3,1.7320507970423888e-08,True
575,5,1.538370149106851e-15,True
576,4,1.7320507714028878e-08,True
577,3,0.0,True
578,3,0.0,True
579,2,0.0,True
580,3,0.0,True
581,5,0.0,True
582,4,4.440892098500626e-16,True
583,4,1.4142135537782532e-08,True
584,3,7.691850745534255e-16,True
585,2,0.0,True
586,4,0.0,True
587,4,1.7320507970423888e-08,True
588,3,0.0,True
589,4,1.7320507457633854e-08,True
590,4,0.0,True
591,3,1.6064700823479085e-16,True
592,3,1.7320507874275752e-08,True
593,2,0.0,True
594,2,0.0,True
595,5,4.965068306494546e-16,True
596,4,0.0,True
597,5,1.7320507970423888e-08,True
598,4,0.0,True
599,4,1.7320507970423888e-08,True
600,5,4.965068306494546e-16,True
601,5,2.482534153247273e-16,True
602,5,1.7320508611411452e-08,True
603,4,8.881784197001252e-16,True
604,4,1.00000003833145e-08,True
605,5,2.8284271389583557e-08,True
606,4,0.0,True
607,4,0.0,True
608,4,1.4142135537782532e-08,True
609,4,0.0,True
610,5,6.280369834735101e-16,True
611,4,0.0,True
612,5,1.7320508262874467e-08,True
613,4,0.0,True
614,4,0.0,True
615,5,1.4142134281708565e-08,True
616,5,1.7320508162720156e-08,True
617,5,9.99999993922529e-09,True
618,4,1.7320507970423888e-08,True
619,4,1.732050784222638e-08,True
620,4,0.0,True
621,4,1.7320507970423888e-08,True
622,4,1.4142136165819515e-08,True
623,32,5.656854243570939e-08,True
624,24,4.47213664279045e-08,True
625,20,3.464101294423115e-08,True
626,18,1.9999997880049295e-08,True
627,10,4.8989794659910006e-08,True
628,45,1.1704700014113725e-07,True
629,14,3.999999820258898e-08,True
630,12,3.4641013248700235e-08,True
631,32,3.464102465827952e-08,True
632,14,2.828427170360213e-08,True
633,36,4.898978105118545e-08,True
634,14,6.633249783953724e-08,True
635,18,4.000000167203608e-08,True
636,18,2.8284268131642138e-08,True
637,22,1.5744825799789052e-14,True
638,20,8.000000212282676e-08,True
