weight_index,weight_value
1357,-8.9722766e-05
1358,0.00013957819
1359,0.00025191053
1360,-0.00041677017
1361,1.5399435e-05
1362,0.0007586314
1363,0.00027563056
1364,0.00040686477
1365,-0.00015337212
1366,1.334017e-05
1367,0.00034590223
1368,-0.0005773634
1369,-0.00025047574
1370,2.480703e-06
1371,0.0003945925
1372,-0.00059826806
1373,-0.0007121826
1374,0.00019904342
1375,-0.00027617638
1376,5.2626863e-05
1377,-0.00024260007
1378,-0.00016599619
1379,0.00020222622
1380,0.0005332484
1381,1.6406033e-05
1382,-1.8959123e-05
1383,-0.00011481812
1384,0.00013249421
1385,-0.0008815067
1386,0.00018271686
1387,0.000121237266
1388,-0.0004467606
1389,0.0011459759
1390,-0.0007917933
