Index,Material_ID,Formula,Atoms,Elements,Max_Diag_BEC_e
390,aaaehgtt,NaPrSe2,4,"Na, Pr, Se",4.66
391,aaaehgzu,CsSrF3,5,"Cs, F, Sr",2.455
392,aaaehhas,CdTe,4,"Cd, Te",2.212
393,aaaehhgo,GaN,4,"Ga, N",2.739
394,aaaehhhf,NaTmO2,4,"Na, O, Tm",4.122
395,aaaehhih,K3ClO,5,"Cl, K, O",2.196
396,aaaehhjy,AcAlO3,5,"Ac, Al, O",4.364
397,aaaehhld,KZnF3,5,"F, K, Zn",2.299
398,aaaehhmg,PmF3,4,"F, Pm",4.215
399,aaaehhnd,Er2SO2,5,"Er, O, S",3.844
400,aaaehhny,LiHF2,4,"F, H, Li",1.993
401,aaaehhqq,NaYS2,4,"Na, S, Y",4.24
402,aaaehhsa,LiPaO3,5,"Li, O, Pa",6.492
403,aaaehhsk,TePb2Se,4,"Pb, Se, Te",5.805
404,aaaehhug,AcF3,4,"Ac, F",4.285
405,aaaehhvn,DyCuSe2,4,"Cu, Dy, Se",4.465
406,aaaehied,NaDyO2,4,"Dy, Na, O",4.218
407,aaaehiek,KYTe2,4,"K, Te, Y",4.452
408,aaaehifm,NaSmSe2,4,"Na, Se, Sm",4.581
409,aaaehihx,MgZnS2,4,"Mg, S, Zn",2.194
410,aaaehiid,RbIO3,5,"I, O, Rb",4.432
411,aaaehilu,ScF3,4,"F, Sc",3.99
412,aaaehinq,RbTlO2,4,"O, Rb, Tl",3.869
413,aaaehins,CdS,4,"Cd, S",2.209
414,aaaehiof,Cd(HO)2,5,"Cd, H, O",2.505
415,aaaehiom,LiAlO2,4,"Al, Li, O",2.98
416,aaaehioy,LiBr,4,"Br, Li",1.035
417,aaaehipw,KMgF3,5,"F, K, Mg",1.978
418,aaaehirs,CaHgO2,4,"Ca, Hg, O",2.881
419,aaaehisl,Sr(CdP)2,5,"Cd, P, Sr",3.351
420,aaaehite,ScAgO2,4,"Ag, O, Sc",4.379
421,aaaehivg,CsCdF3,5,"Cd, Cs, F",2.431
422,aaaehixk,CsRb2Sb,4,"Cs, Rb, Sb",3.125
423,aaaehiyi,KMgH3,5,"H, K, Mg",1.849
424,aaaehize,DyAgTe2,4,"Ag, Dy, Te",4.844
425,aaaehizr,AlGaSb2,4,"Al, Ga, Sb",1.966
426,aaaehjby,Ba(MgP)2,5,"Ba, Mg, P",3.321
