Equivar_Z11,DFPT_Z11,Equivar_Z22,DFPT_Z22,Equivar_Z33,DFPT_Z33
-3.148869276046753,-3.1480393409729004,-1.9074375629425049,-1.9051287174224854,-2.937166929244995,-2.966756820678711
-3.1393744945526123,-3.154850959777832,-2.06951117515564,-2.0683720111846924,-3.069844961166382,-3.0669968128204346
-3.1488687992095947,-3.1480393409729004,-1.907436847686768,-1.9051287174224854,-2.937166452407837,-2.966756820678711
-3.1556570529937744,-3.1425461769104004,-1.88898241519928,-1.9032118320465088,-3.115799188613892,-3.114262342453003
-3.1393744945526123,-3.154850959777832,-2.06951117515564,-2.0683720111846924,-3.069844961166382,-3.0669968128204346
3.1695361137390137,3.233426570892334,3.1717870235443115,3.1533727645874023,3.5204625129699707,3.5059192180633545
2.3380086421966557,2.3528194427490234,2.6987624168396,2.6765296459198,2.411918878555298,2.4338293075561523
5.250646591186523,5.226003170013428,5.510315418243408,5.509352207183838,5.73276948928833,5.748189926147461
5.794692039489746,5.811620712280273,5.509138107299805,5.503410816192627,5.224615573883057,5.235501289367676
5.25064754486084,5.226003170013428,5.510315418243408,5.509352207183838,5.732770442962647,5.748189926147461
5.794692039489746,5.811620712280273,5.509138107299805,5.503410816192627,5.22461462020874,5.235501289367676
2.503856420516968,2.4807095527648926,3.030717134475708,3.063981056213379,2.5255730152130127,2.50380802154541
2.610790729522705,2.648754596710205,2.3040876388549805,2.330017328262329,2.628359794616699,2.668720006942749
2.6373846530914307,2.638498544692993,2.6421730518341064,2.642807960510254,2.667560338973999,2.6516406536102295
-2.0127110481262207,-2.0232136249542236,-4.375863552093506,-4.365096569061279,-1.8480819463729856,-1.8327594995498657
-3.162853240966797,-3.1687779426574707,-1.8403624296188357,-1.8486108779907227,-3.168630123138428,-3.1725411415100098
-1.823333740234375,-1.7955701351165771,-4.398581504821777,-4.394460201263428,-2.066251277923584,-2.0619218349456787
-1.7572062015533447,-1.7708829641342163,-3.8989346027374263,-3.912884473800659,-2.603691339492798,-2.6065123081207275
-3.1516151428222656,-3.1493802070617676,-2.2343552112579346,-2.246652841567993,-3.282708168029785,-3.2788383960723877
-2.5437674522399902,-2.5428619384765625,-3.911653995513916,-3.928741455078125,-1.8080689907073972,-1.8144116401672363
-3.162853240966797,-3.1687779426574707,-1.8403624296188357,-1.8486108779907227,-3.168630123138428,-3.1725411415100098
-3.309250831604004,-3.300722599029541,-2.2058420181274414,-2.2079622745513916,-3.18004846572876,-3.1753203868865967
-3.062772274017334,-3.0588176250457764,-1.9492714405059812,-1.9491565227508545,-3.0481863021850586,-3.0404319763183594
-3.3092501163482666,-3.300722599029541,-2.2058417797088623,-2.2079622745513916,-3.1800477504730225,-3.1753203868865967
-3.062772512435913,-3.0588176250457764,-1.9492712020874023,-1.9491565227508545,-3.0481865406036377,-3.0404319763183594
